"","name","longitude","latitude"
"287","Clangula hyemalis",-70.23128,41.38587
"288","Clangula hyemalis",-70.30727,41.34308
"289","Clangula hyemalis",-70.06012,41.52707
"290","Clangula hyemalis",-70.36165,41.48652
"291","Clangula hyemalis",-70.36275,41.34963
"292","Clangula hyemalis",-70.27924,41.5546
"293","Clangula hyemalis",-70.25268,41.34324
"294","Clangula hyemalis",-70.19415,41.55992
"295","Clangula hyemalis",-70.0853,41.35536
"296","Clangula hyemalis",-70.06725,41.37339
"297","Clangula hyemalis",-70.09071,41.50102
"298","Clangula hyemalis",-70.40801,41.45975
"299","Clangula hyemalis",-70.40347,41.51702
"300","Clangula hyemalis",-70.36421,41.40575
"301","Clangula hyemalis",-70.30984,41.35788
"302","Clangula hyemalis",-70.16982,41.43303
"303","Clangula hyemalis",-70.38406,41.48042
"304","Clangula hyemalis",-70.14394,41.46587
"305","Clangula hyemalis",-70.30839,41.34025
"306","Clangula hyemalis",-70.06212,41.51184
"307","Clangula hyemalis",-70.38775,41.52269
"308","Clangula hyemalis",-70.25377,41.38487
"309","Clangula hyemalis",-70.35944,41.42683
"310","Clangula hyemalis",-70.33791,41.35951
"311","Clangula hyemalis",-70.31036,41.44804
"312","Clangula hyemalis",-70.22296,41.40048
"313","Clangula hyemalis",-70.1152,41.549
"314","Clangula hyemalis",-70.27988,41.55588
"315","Clangula hyemalis",-70.22869,41.38054
"316","Clangula hyemalis",-70.06921,41.49222
"317","Clangula hyemalis",-70.11686,41.42598
"318","Clangula hyemalis",-70.36156,41.50058
"319","Clangula hyemalis",-70.14136,41.47064
"320","Clangula hyemalis",-70.1442,41.51638
"321","Clangula hyemalis",-70.36204,41.46064
"322","Clangula hyemalis",-70.11644,41.53291
"323","Clangula hyemalis",-70.33753,41.36513
"324","Clangula hyemalis",-70.41571,41.33262
"325","Clangula hyemalis",-70.33456,41.52393
"326","Clangula hyemalis",-70.3344,41.49873
"327","Clangula hyemalis",-70.30854,41.39113
"328","Clangula hyemalis",-70.23339,41.34081
"329","Clangula hyemalis",-70.2256,41.48086
"330","Clangula hyemalis",-70.22223,41.35651
"331","Clangula hyemalis",-70.22485,41.43381
"332","Clangula hyemalis",-70.28414,41.34786
"333","Clangula hyemalis",-70.17135,41.58413
"334","Clangula hyemalis",-70.03214,41.57326
"335","Clangula hyemalis",-70.06153,41.53984
"336","Clangula hyemalis",-70.14404,41.52497
"337","Clangula hyemalis",-70.38113,41.39903
"338","Clangula hyemalis",-70.3315,41.38196
"339","Clangula hyemalis",-70.35948,41.41998
"340","Clangula hyemalis",-70.36005,41.52993
"341","Clangula hyemalis",-70.11535,41.36627
"342","Clangula hyemalis",-70.13352,41.50976
"343","Clangula hyemalis",-70.33811,41.34284
"344","Clangula hyemalis",-70.06296,41.57184
"345","Clangula hyemalis",-70.33472,41.40572
"346","Clangula hyemalis",-70.06668,41.54644
"347","Clangula hyemalis",-70.14301,41.45519
"348","Clangula hyemalis",-70.3344,41.50019
"349","Clangula hyemalis",-70.22504,41.42617
"350","Clangula hyemalis",-70.06548,41.55436
"351","Clangula hyemalis",-70.31209,41.50832
"352","Clangula hyemalis",-70.19404,41.55448
"353","Clangula hyemalis",-70.08752,41.54907
"354","Clangula hyemalis",-70.33681,41.37598
"355","Clangula hyemalis",-70.18391,41.50799
"356","Clangula hyemalis",-70.17364,41.36344
"357","Clangula hyemalis",-70.38583,41.36762
"358","Clangula hyemalis",-70.1725,41.37687
"359","Clangula hyemalis",-70.0624,41.58596
"360","Clangula hyemalis",-70.25322,41.50093
"361","Clangula hyemalis",-70.03239,41.58775
"362","Clangula hyemalis",-70.11446,41.57819
"363","Clangula hyemalis",-70.36107,41.51117
"364","Clangula hyemalis",-70.14634,41.57917
"365","Clangula hyemalis",-70.2009,41.46356
"366","Clangula hyemalis",-70.17046,41.58557
"367","Clangula hyemalis",-70.19681,41.41251
"368","Clangula hyemalis",-70.177,41.55674
"369","Clangula hyemalis",-70.22461,41.44136
"370","Clangula hyemalis",-70.26647,41.37399
"371","Clangula hyemalis",-70.08893,41.53279
"372","Clangula hyemalis",-70.06624,41.54912
"373","Clangula hyemalis",-70.17258,41.37514
"374","Clangula hyemalis",-70.22435,41.5805
"375","Clangula hyemalis",-70.06284,41.57684
"376","Clangula hyemalis",-70.38177,41.41367
"377","Clangula hyemalis",-70.38815,41.54045
"378","Clangula hyemalis",-70.06765,41.51097
"379","Clangula hyemalis",-70.1156,41.39632
"380","Clangula hyemalis",-70.30672,41.33276
"381","Clangula hyemalis",-70.25357,41.39009
"382","Clangula hyemalis",-70.23031,41.35846
"383","Clangula hyemalis",-70.16854,41.51849
"384","Clangula hyemalis",-70.19833,41.36074
"385","Clangula hyemalis",-70.03464,41.50225
"386","Clangula hyemalis",-70.33511,41.45311
"387","Clangula hyemalis",-70.19408,41.5586
"388","Clangula hyemalis",-70.11512,41.6005
"389","Clangula hyemalis",-70.22591,41.51566
"390","Clangula hyemalis",-70.06156,41.57596
"391","Clangula hyemalis",-70.22353,41.53947
"392","Clangula hyemalis",-70.33096,41.41574
"393","Clangula hyemalis",-70.41675,41.37755
"394","Clangula hyemalis",-70.17091,41.38624
"395","Clangula hyemalis",-70.17316,41.51696
"396","Clangula hyemalis",-70.25128,41.33324
"397","Clangula hyemalis",-70.36192,41.34156
"398","Clangula hyemalis",-70.17236,41.51217
"399","Clangula hyemalis",-70.35888,41.48492
"400","Clangula hyemalis",-70.26597,41.36883
"401","Clangula hyemalis",-70.17336,41.53735
"402","Clangula hyemalis",-70.06773,41.5399
"403","Clangula hyemalis",-70.22508,41.54975
"404","Clangula hyemalis",-70.38616,41.35828
"405","Clangula hyemalis",-70.06464,41.4127
"406","Clangula hyemalis",-70.11646,41.52399
"407","Clangula hyemalis",-70.17074,41.39042
"408","Clangula hyemalis",-70.27163,41.45594
"409","Clangula hyemalis",-70.11536,41.52229
"410","Clangula hyemalis",-70.36028,41.3804
"411","Clangula hyemalis",-70.33128,41.39211
"412","Clangula hyemalis",-70.3341,41.51509
"413","Clangula hyemalis",-70.2472,41.52732
"414","Clangula hyemalis",-70.17039,41.57584
"415","Clangula hyemalis",-70.38864,41.55487
"416","Clangula hyemalis",-70.11596,41.53054
"417","Clangula hyemalis",-70.38335,41.45541
"418","Clangula hyemalis",-70.03037,41.57946
"419","Clangula hyemalis",-70.06367,41.56569
"420","Clangula hyemalis",-70.06187,41.52383
"421","Clangula hyemalis",-70.06508,41.55737
"422","Clangula hyemalis",-70.06182,41.52574
"423","Clangula hyemalis",-70.38373,41.42276
"424","Clangula hyemalis",-70.33807,41.35349
"425","Clangula hyemalis",-70.18581,41.49684
"426","Clangula hyemalis",-70.30791,41.33703
"427","Clangula hyemalis",-70.33746,41.3661
"428","Clangula hyemalis",-70.38548,41.50522
"429","Clangula hyemalis",-70.1442,41.5155
"430","Clangula hyemalis",-70.11642,41.51254
"431","Clangula hyemalis",-70.19425,41.54827
"432","Clangula hyemalis",-70.06535,41.55535
"433","Clangula hyemalis",-70.08659,41.51297
"434","Clangula hyemalis",-70.22997,41.36718
"435","Clangula hyemalis",-70.14492,41.49931
"436","Clangula hyemalis",-70.08756,41.54768
"437","Clangula hyemalis",-70.33352,41.54379
"438","Clangula hyemalis",-70.36245,41.43235
